Date,Cotton Type,Price (USD)
01-Jan-10,China 328,99.01
01-Jan-10,CN-FC Index S,83.07
01-Jan-10,India Shankar-6,73.86
01-Jan-10,New York Nearby,71.89
01-Jan-10,Pakistan KCA Spot,65.46
01-Jan-10,A index Cotton,77.39
01-Feb-10,China 328,98.87
01-Feb-10,CN-FC Index S,84.57
01-Feb-10,India Shankar-6,72.83
01-Feb-10,New York Nearby,74.45
01-Feb-10,Pakistan KCA Spot,70.04
01-Feb-10,A index Cotton,80.05
01-Mar-10,China 328,103.24
01-Mar-10,CN-FC Index S,89.71
01-Mar-10,India Shankar-6,78.21
01-Mar-10,New York Nearby,81.29
01-Mar-10,Pakistan KCA Spot,79.19
01-Mar-10,A index Cotton,85.8
01-Apr-10,China 328,108.09
01-Apr-10,CN-FC Index S,91.17
01-Apr-10,India Shankar-6,80.92
01-Apr-10,New York Nearby,81.46
01-Apr-10,Pakistan KCA Spot,80.58
01-Apr-10,A index Cotton,88.09
01-May-10,China 328,112.29
01-May-10,CN-FC Index S,93.36
01-May-10,India Shankar-6,79.97
01-May-10,New York Nearby,81.49
01-May-10,Pakistan KCA Spot,93.44
01-May-10,A index Cotton,90.07
01-Jun-10,China 328,118.82
01-Jun-10,CN-FC Index S,96.53
01-Jun-10,India Shankar-6,80.53
01-Jun-10,New York Nearby,81.43
01-Jun-10,Pakistan KCA Spot,91.69
01-Jun-10,A index Cotton,93.04
01-Jul-10,China 328,122.54
01-Jul-10,CN-FC Index S,91.2
01-Jul-10,India Shankar-6,79.92
01-Jul-10,New York Nearby,79.7
01-Jul-10,Pakistan KCA Spot,80.58
01-Jul-10,A index Cotton,93.04
01-Aug-10,China 328,120.97
01-Aug-10,CN-FC Index S,94.83
01-Aug-10,India Shankar-6,86.95
01-Aug-10,New York Nearby,86.66
01-Aug-10,Pakistan KCA Spot,93.44
01-Aug-10,A index Cotton,90.35
01-Sep-10,China 328,126.76
01-Sep-10,CN-FC Index S,110.7
01-Sep-10,India Shankar-6,102.49
01-Sep-10,New York Nearby,96.61
01-Sep-10,Pakistan KCA Spot,95.41
01-Sep-10,A index Cotton,104.73
01-Oct-10,China 328,167.42
01-Oct-10,CN-FC Index S,138.21
01-Oct-10,India Shankar-6,116.17
01-Oct-10,New York Nearby,112.42
01-Oct-10,Pakistan KCA Spot,105.45
01-Oct-10,A index Cotton,126.55
01-Nov-10,China 328,194.3
01-Nov-10,CN-FC Index S,161.59
01-Nov-10,India Shankar-6,123.56
01-Nov-10,New York Nearby,132.18
01-Nov-10,Pakistan KCA Spot,124.71
01-Nov-10,A index Cotton,155.47
01-Dec-10,China 328,184.15
01-Dec-10,CN-FC Index S,172.57
01-Dec-10,India Shankar-6,116.12
01-Dec-10,New York Nearby,141.05
01-Dec-10,Pakistan KCA Spot,128.3
01-Dec-10,A index Cotton,168.04
01-Jan-11,China 328,192
01-Jan-11,CN-FC Index S,182.66
01-Jan-11,India Shankar-6,124.1
01-Jan-11,New York Nearby,151.72
01-Jan-11,Pakistan KCA Spot,140.94
01-Jan-11,A index Cotton,178.93
01-Feb-11,China 328,205.08
01-Feb-11,CN-FC Index S,218.58
01-Feb-11,India Shankar-6,154.97
01-Feb-11,New York Nearby,183.95
01-Feb-11,Pakistan KCA Spot,163.49
01-Feb-11,A index Cotton,213.16
01-Mar-11,China 328,212
01-Mar-11,CN-FC Index S,231.88
01-Mar-11,India Shankar-6,166.59
01-Mar-11,New York Nearby,200.68
01-Mar-11,Pakistan KCA Spot,175.47
01-Mar-11,A index Cotton,229.67
01-Apr-11,China 328,201.79
01-Apr-11,CN-FC Index S,217.49
01-Apr-11,India Shankar-6,162.6
01-Apr-11,New York Nearby,192.85
01-Apr-11,Pakistan KCA Spot,164.63
01-Apr-11,A index Cotton,216.62
01-May-11,China 328,174.67
01-May-11,CN-FC Index S,182.52
01-May-11,India Shankar-6,130.24
01-May-11,New York Nearby,152.19
