Date,Country,Min Wage
10-Jun,CHINA,1100
10-Jun,INDONESIA,1118009
10-Jun,INDIA,248
10-Jun,BANGLADESH,3050
10-Jun,VIETNAM,730000
10-Jul,CHINA,1100
10-Jul,INDONESIA,1118009
10-Jul,INDIA,248
10-Jul,BANGLADESH,3050
10-Jul,VIETNAM,730000
10-Aug,CHINA,1100
10-Aug,INDONESIA,1118009
10-Aug,INDIA,248
10-Aug,BANGLADESH,3050
10-Aug,VIETNAM,730000
10-Sep,CHINA,1100
10-Sep,INDONESIA,1118009
10-Sep,INDIA,248
10-Sep,BANGLADESH,3050
10-Sep,VIETNAM,730000
10-Oct,CHINA,1100
10-Oct,INDONESIA,1118009
10-Oct,INDIA,248
10-Oct,BANGLADESH,3050
10-Oct,VIETNAM,730000
10-Nov,CHINA,1100
10-Nov,INDONESIA,1118009
10-Nov,INDIA,248
10-Nov,BANGLADESH,3050
10-Nov,VIETNAM,730000
10-Dec,CHINA,1100
10-Dec,INDONESIA,1118009
10-Dec,INDIA,248
10-Dec,BANGLADESH,3050
10-Dec,VIETNAM,730000
11-Jan,CHINA,1320
11-Jan,INDONESIA,1290000
11-Jan,INDIA,248
11-Jan,BANGLADESH,3050
11-Jan,VIETNAM,830000
11-Feb,CHINA,1320
11-Feb,INDONESIA,1290000
11-Feb,INDIA,285
11-Feb,BANGLADESH,3050
11-Feb,VIETNAM,830000
11-Mar,CHINA,1320
11-Mar,INDONESIA,1290000
11-Mar,INDIA,285
11-Mar,BANGLADESH,3050
11-Mar,VIETNAM,830000
11-Apr,CHINA,1320
11-Apr,INDONESIA,1290000
11-Apr,INDIA,301
11-Apr,BANGLADESH,3050
11-Apr,VIETNAM,830000
11-May,CHINA,1320
11-May,INDONESIA,1290000
11-May,INDIA,301
11-May,BANGLADESH,3050
11-May,VIETNAM,830000
11-Jun,CHINA,1320
11-Jun,INDONESIA,1290000
11-Jun,INDIA,301
11-Jun,BANGLADESH,3050
11-Jun,VIETNAM,830000
11-Jul,CHINA,1320
11-Jul,INDONESIA,1290000
11-Jul,INDIA,301
11-Jul,BANGLADESH,3050
11-Jul,VIETNAM,830000
11-Aug,CHINA,1320
11-Aug,INDONESIA,1290000
11-Aug,INDIA,301
11-Aug,BANGLADESH,3050
11-Aug,VIETNAM,830000
11-Sep,CHINA,1320
11-Sep,INDONESIA,1290000
11-Sep,INDIA,301
11-Sep,BANGLADESH,3050
11-Sep,VIETNAM,830000
11-Oct,CHINA,1320
11-Oct,INDONESIA,1290000
11-Oct,INDIA,312
11-Oct,BANGLADESH,3050
11-Oct,VIETNAM,830000
11-Nov,CHINA,1320
11-Nov,INDONESIA,1290000
11-Nov,INDIA,312
11-Nov,BANGLADESH,3050
11-Nov,VIETNAM,830000
11-Dec,CHINA,1320
11-Dec,INDONESIA,1290000
11-Dec,INDIA,312
11-Dec,BANGLADESH,3050
11-Dec,VIETNAM,830000
12-Jan,CHINA,1500
12-Jan,INDONESIA,1530000
12-Jan,INDIA,312
12-Jan,BANGLADESH,3050
12-Jan,VIETNAM,1400000
12-Feb,CHINA,1500
12-Feb,INDONESIA,1530000
12-Feb,INDIA,312
12-Feb,BANGLADESH,3050
12-Feb,VIETNAM,1400000
12-Mar,CHINA,1500
12-Mar,INDONESIA,1530000
12-Mar,INDIA,312
12-Mar,BANGLADESH,3050
12-Mar,VIETNAM,1400000
12-Apr,CHINA,1500
12-Apr,INDONESIA,1530000
12-Apr,INDIA,328
12-Apr,BANGLADESH,3050
12-Apr,VIETNAM,1400000
12-May,CHINA,1500
12-May,INDONESIA,1530000
12-May,INDIA,328
12-May,BANGLADESH,3050
12-May,VIETNAM,1400000
12-Jun,CHINA,1500
12-Jun,INDONESIA,1530000
12-Jun,INDIA,328
12-Jun,BANGLADESH,3050
12-Jun,VIETNAM,1400000
12-Jul,CHINA,1500
12-Jul,INDONESIA,1530000
12-Jul,INDIA,328
12-Jul,BANGLADESH,3050
12-Jul,VIETNAM,1400000
12-Aug,CHINA,1500
12-Aug,INDONESIA,1530000
12-Aug,INDIA,328
12-Aug,BANGLADESH,3050
12-Aug,VIETNAM,1400000
12-Sep,CHINA,1500
12-Sep,INDONESIA,1530000
12-Sep,INDIA,328
12-Sep,BANGLADESH,3050
