1,2,3,4
JEWELRY,BAGS,0.953423,TRUE
SLEEP,SLEEPWEAR,0.999996,TRUE
Accessories,Shoes,0.951142,TRUE
Costume,HAIR,0.952461,TRUE
Denim Shorts,Denim Pants,0.97588,TRUE
Girl Sleepwear,Boy Sleepwear,0.984207,TRUE
Hair,HAIR,0.990377,FALSE
Hair,Costume,0.95716,TRUE
Shoes,SHOES,0.990038,FALSE
Sleep,SLEEPWEAR,0.970475,TRUE
Sleep,SLEEP,0.97095,FALSE
Sleep,Boy Sleepwear,0.96808,TRUE
Sleep,Girl Sleepwear,0.983887,TRUE
Sleep N Play,Events,0.986421,TRUE
Sleepwear,SLEEPWEAR,0.977441,FALSE
Sleepwear,SLEEP,0.977066,TRUE
Socks,SOCKS,0.975218,FALSE
Tights,TIGHT,0.956981,TRUE
Towels,Events,0.953752,TRUE
Underwear,UNDERWEAR,0.997053,FALSE
Bangladesh,Woven Bottoms,0.992482,TRUE
CHINA,DENIM,0.956724,TRUE
China,Events,0.984256,TRUE
China,Sleep N Play,0.988634,TRUE
INDONESIA,Tops,0.98177,TRUE
Indonesia,Denim Bottoms,0.974393,TRUE
JORDAN,Tops,0.967706,TRUE
KR,Socks,0.957924,TRUE
Vietnam,Coat Style PJs,0.971871,TRUE
Girls,Loungewear & Sleepwear,0.962639,TRUE
